Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Resistance,Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height - Seated (Max),Number of Terminations,Failure Rate
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P12.4LTR-ND,ERJ-2RKF12R4X,Panasonic Electronic Components,RES SMD 12.4 OHM 1% 1/10W 0402,80000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,12.4,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P12.7LTR-ND,ERJ-2RKF12R7X,Panasonic Electronic Components,RES SMD 12.7 OHM 1% 1/10W 0402,80000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,12.7,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P13.0LTR-ND,ERJ-2RKF13R0X,Panasonic Electronic Components,RES SMD 13 OHM 1% 1/10W 0402,80000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,13,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P13.3LTR-ND,ERJ-2RKF13R3X,Panasonic Electronic Components,RES SMD 13.3 OHM 1% 1/10W 0402,10000,0,0.00336,0,10000,Tape & Reel (TR),ERJ,Active,13.3,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P13.7LTR-ND,ERJ-2RKF13R7X,Panasonic Electronic Components,RES SMD 13.7 OHM 1% 1/10W 0402,60000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,13.7,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P14.0LTR-ND,ERJ-2RKF14R0X,Panasonic Electronic Components,RES SMD 14 OHM 1% 1/10W 0402,50000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,14,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P14.3LTR-ND,ERJ-2RKF14R3X,Panasonic Electronic Components,RES SMD 14.3 OHM 1% 1/10W 0402,0,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,14.3,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P14.7LTR-ND,ERJ-2RKF14R7X,Panasonic Electronic Components,RES SMD 14.7 OHM 1% 1/10W 0402,10000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,14.7,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P15.0LTR-ND,ERJ-2RKF15R0X,Panasonic Electronic Components,RES SMD 15 OHM 1% 1/10W 0402,850000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,15,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P15.4LTR-ND,ERJ-2RKF15R4X,Panasonic Electronic Components,RES SMD 15.4 OHM 1% 1/10W 0402,60000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,15.4,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P15.8LTR-ND,ERJ-2RKF15R8X,Panasonic Electronic Components,RES SMD 15.8 OHM 1% 1/10W 0402,60000,0,0.00338,0,10000,Tape & Reel (TR),ERJ,Active,15.8,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P16.0LTR-ND,ERJ-2RKF16R0X,Panasonic Electronic Components,RES SMD 16 OHM 1% 1/10W 0402,90000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,16,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P16.2LTR-ND,ERJ-2RKF16R2X,Panasonic Electronic Components,RES SMD 16.2 OHM 1% 1/10W 0402,180000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,16.2,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P16.5LTR-ND,ERJ-2RKF16R5X,Panasonic Electronic Components,RES SMD 16.5 OHM 1% 1/10W 0402,170000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,16.5,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P16.9LTR-ND,ERJ-2RKF16R9X,Panasonic Electronic Components,RES SMD 16.9 OHM 1% 1/10W 0402,90000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,16.9,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P17.4LTR-ND,ERJ-2RKF17R4X,Panasonic Electronic Components,RES SMD 17.4 OHM 1% 1/10W 0402,100000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,17.4,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P17.8LTR-ND,ERJ-2RKF17R8X,Panasonic Electronic Components,RES SMD 17.8 OHM 1% 1/10W 0402,0,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,17.8,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P18.0LTR-ND,ERJ-2RKF18R0X,Panasonic Electronic Components,RES SMD 18 OHM 1% 1/10W 0402,330000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,18,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P18.2LTR-ND,ERJ-2RKF18R2X,Panasonic Electronic Components,RES SMD 18.2 OHM 1% 1/10W 0402,490000,0,0.00336,0,10000,Tape & Reel (TR),ERJ,Active,18.2,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P18.7LTR-ND,ERJ-2RKF18R7X,Panasonic Electronic Components,RES SMD 18.7 OHM 1% 1/10W 0402,10000,0,0.00336,0,10000,Tape & Reel (TR),ERJ,Active,18.7,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P19.1LTR-ND,ERJ-2RKF19R1X,Panasonic Electronic Components,RES SMD 19.1 OHM 1% 1/10W 0402,60000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,19.1,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P19.6LTR-ND,ERJ-2RKF19R6X,Panasonic Electronic Components,RES SMD 19.6 OHM 1% 1/10W 0402,50000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,19.6,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P20.0LTR-ND,ERJ-2RKF20R0X,Panasonic Electronic Components,RES SMD 20 OHM 1% 1/10W 0402,390000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,20,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P20.5LTR-ND,ERJ-2RKF20R5X,Panasonic Electronic Components,RES SMD 20.5 OHM 1% 1/10W 0402,30000,0,0.00265,0,10000,Tape & Reel (TR),ERJ,Active,20.5,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P21.0LTR-ND,ERJ-2RKF21R0X,Panasonic Electronic Components,RES SMD 21 OHM 1% 1/10W 0402,40000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,21,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P21.5LTR-ND,ERJ-2RKF21R5X,Panasonic Electronic Components,RES SMD 21.5 OHM 1% 1/10W 0402,80000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,21.5,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P22.0LTR-ND,ERJ-2RKF22R0X,Panasonic Electronic Components,RES SMD 22 OHM 1% 1/10W 0402,1060000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,22,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P22.1LTR-ND,ERJ-2RKF22R1X,Panasonic Electronic Components,RES SMD 22.1 OHM 1% 1/10W 0402,1410000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,22.1,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P22.6LTR-ND,ERJ-2RKF22R6X,Panasonic Electronic Components,RES SMD 22.6 OHM 1% 1/10W 0402,550000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,22.6,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P23.2LTR-ND,ERJ-2RKF23R2X,Panasonic Electronic Components,RES SMD 23.2 OHM 1% 1/10W 0402,80000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,23.2,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P23.7LTR-ND,ERJ-2RKF23R7X,Panasonic Electronic Components,RES SMD 23.7 OHM 1% 1/10W 0402,90000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,23.7,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P24.0LTR-ND,ERJ-2RKF24R0X,Panasonic Electronic Components,RES SMD 24 OHM 1% 1/10W 0402,270000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,24,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P24.3LTR-ND,ERJ-2RKF24R3X,Panasonic Electronic Components,RES SMD 24.3 OHM 1% 1/10W 0402,80000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,24.3,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P24.9LTR-ND,ERJ-2RKF24R9X,Panasonic Electronic Components,RES SMD 24.9 OHM 1% 1/10W 0402,1290000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,24.9,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P25.5LTR-ND,ERJ-2RKF25R5X,Panasonic Electronic Components,RES SMD 25.5 OHM 1% 1/10W 0402,120000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,25.5,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P26.1LTR-ND,ERJ-2RKF26R1X,Panasonic Electronic Components,RES SMD 26.1 OHM 1% 1/10W 0402,120000,0,0.00448,0,10000,Tape & Reel (TR),ERJ,Active,26.1,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C304.pdf,//media.digikey.com/photos/Panasonic%20Photos/10-0402.jpg,P26.7LTR-ND,ERJ-2RKF26R7X,Panasonic Electronic Components,RES SMD 26.7 OHM 1% 1/10W 0402,720000,0,0.00347,0,10000,Tape & Reel (TR),ERJ,Active,26.7,±1%,"0.1W, 1/10W",Thick Film,Automotive AEC-Q200,±100ppm/°C,-55°C ~ 155°C,0402 (1005 Metric),402,"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.016"" (0.40mm)",2,0
